,cluster_label,Univ,State,SAT,Top10,Accept,SFRatio,Expenses,GradRate
0,0,Brown,RI,1310,89,22,13,22704,94
16,0,Stanford,CA,1360,90,20,12,36450,93
14,0,Princeton,NJ,1375,91,14,8,30220,95
10,0,MIT,MA,1380,94,30,10,34870,91
9,0,JohnsHopkins,MD,1305,75,44,7,58691,87
8,0,Harvard,MA,1400,91,14,11,39525,97
24,0,Yale,CT,1375,95,19,11,43514,96
5,0,Dartmouth,NH,1340,89,23,10,32162,95
3,0,Columbia,NY,1310,76,24,12,31510,88
6,0,Duke,NC,1315,90,30,12,31585,95
1,0,CalTech,CA,1415,100,25,6,63575,81
7,1,Georgetown,DC,1255,74,24,12,20126,92
22,1,UVA,VA,1225,77,44,14,13349,92
21,1,UPenn,PA,1285,80,36,11,27553,90
20,1,UMichigan,MI,1180,65,68,16,15470,85
19,1,UChicago,IL,1290,75,50,13,38380,87
18,1,UCBerkeley,CA,1240,95,40,17,15140,78
12,1,NotreDame,IN,1255,81,42,13,15122,94
2,1,CMU,PA,1260,62,59,9,25026,72
11,1,Northwestern,IL,1260,85,39,11,28052,89
4,1,Cornell,NY,1280,83,33,13,21864,90
13,2,PennState,PA,1081,38,54,18,10185,80
23,2,UWisconsin,WI,1085,40,69,15,11857,71
17,2,TexasA&M,TX,1075,49,67,25,8704,67
15,2,Purdue,IN,1005,28,90,19,9066,69
